id_fornecedor,razao_social,cnpj,email,telefone
id_fornecedor_8163,Empresa 7660,17172257001286,user3336@hotmail.com,telefone_5818
id_fornecedor_2660,Empresa 4104,90709818713649,user6749@hotmail.com,telefone_5143
id_fornecedor_3048,Empresa 4789,15814399731590,user6320@hotmail.com,telefone_9443
id_fornecedor_9839,Empresa 131,15814399731590,user5598@yahoo.com.br,telefone_9980
id_fornecedor_9203,Empresa 5991,72282567499669,user8117@hotmail.com,telefone_3101
id_fornecedor_7480,Empresa 999,84993584563456,user9233@gmail.com,telefone_8281
id_fornecedor_6249,Empresa 2282,22991230990755,user3727@hotmail.com,telefone_5562
id_fornecedor_7397,Empresa 1333,15814399731590,user3@gmail.com,telefone_6497
id_fornecedor_9910,Empresa 6185,17322309236307,user5555@hotmail.com,telefone_8030
id_fornecedor_6826,Empresa 6161,98537346275224,user6345@hotmail.com,telefone_6714
id_fornecedor_6874,Empresa 9169,14226870717149,user9700@gmail.com,telefone_4693
id_fornecedor_4666,Empresa 9395,31711107694246,user5201@hotmail.com,telefone_5145
id_fornecedor_7336,Empresa 4108,15814399731590,user5177@yahoo.com.br,telefone_6377
id_fornecedor_7414,Empresa 9073,17322309236307,user4273@hotmail.com,telefone_4676
id_fornecedor_9196,Empresa 2322,14226870717149,user9311@hotmail.com,telefone_7783
id_fornecedor_8141,Empresa 9260,31711107694246,user6876@hotmail.com,telefone_7409
id_fornecedor_7300,Empresa 7998,03776586174592,user3071@gmail.com,telefone_2632
id_fornecedor_6750,Empresa 8988,17172257001286,user560@yahoo.com.br,telefone_2052
id_fornecedor_8418,Empresa 1503,17322309236307,user8627@gmail.com,telefone_5902
id_fornecedor_8142,Empresa 4892,22991230990755,user5729@gmail.com,telefone_9268
id_fornecedor_1022,Empresa 3236,99516286428740,user5032@yahoo.com.br,telefone_2038
id_fornecedor_4546,Empresa 4988,72282567499669,user6681@hotmail.com,telefone_3647
id_fornecedor_2398,Empresa 7931,17172257001286,user3442@hotmail.com,telefone_1990
id_fornecedor_4930,Empresa 9758,14226870717149,user5727@yahoo.com.br,telefone_6997
id_fornecedor_8917,Empresa 6214,59105026901616,user6631@yahoo.com.br,telefone_1293
id_fornecedor_6403,Empresa 6780,99516286428740,user294@hotmail.com,telefone_6193
id_fornecedor_8266,Empresa 693,77890974970405,user7177@gmail.com,telefone_3653
id_fornecedor_9800,Empresa 1329,99516286428740,user4484@gmail.com,telefone_8373
id_fornecedor_6902,Empresa 4168,72282567499669,user473@yahoo.com.br,telefone_4706
id_fornecedor_8446,Empresa 1601,72282567499669,user708@yahoo.com.br,telefone_8770
id_fornecedor_1520,Empresa 8085,03776586174592,user7375@yahoo.com.br,telefone_5946
id_fornecedor_6636,Empresa 9808,31711107694246,user2721@yahoo.com.br,telefone_4783
id_fornecedor_3700,Empresa 3555,14226870717149,user6598@gmail.com,telefone_9164
id_fornecedor_9214,Empresa 6943,15814399731590,user3587@yahoo.com.br,telefone_8507
id_fornecedor_8071,Empresa 5438,15814399731590,user2892@hotmail.com,telefone_5128
id_fornecedor_1224,Empresa 37,14226870717149,user406@yahoo.com.br,telefone_6816
id_fornecedor_1956,Empresa 4568,77890974970405,user2948@hotmail.com,telefone_1620
id_fornecedor_5257,Empresa 6648,14226870717149,user1242@yahoo.com.br,telefone_4094
id_fornecedor_5438,Empresa 2001,15814399731590,user8685@yahoo.com.br,telefone_5821
id_fornecedor_7014,Empresa 57,59105026901616,user4832@yahoo.com.br,telefone_3105
id_fornecedor_6862,Empresa 3032,22991230990755,user3689@gmail.com,telefone_3459
id_fornecedor_4723,Empresa 4,72282567499669,user2844@gmail.com,telefone_8480
id_fornecedor_7751,Empresa 4544,15814399731590,user1248@yahoo.com.br,telefone_5702
id_fornecedor_2691,Empresa 664,77890974970405,user7705@yahoo.com.br,telefone_3314
id_fornecedor_1826,Empresa 5374,17172257001286,user4450@gmail.com,telefone_3105
id_fornecedor_5967,Empresa 7817,77890974970405,user7070@yahoo.com.br,telefone_8648
id_fornecedor_6406,Empresa 7017,84993584563456,user7869@gmail.com,telefone_8308
id_fornecedor_7544,Empresa 2428,77890974970405,user8201@gmail.com,telefone_7666
id_fornecedor_9597,Empresa 5897,59105026901616,user1431@yahoo.com.br,telefone_1101
id_fornecedor_5002,Empresa 4994,14226870717149,user4215@hotmail.com,telefone_3646
id_fornecedor_7317,Empresa 6662,90709818713649,user8198@hotmail.com,telefone_8661
id_fornecedor_9841,Empresa 877,84993584563456,user3547@yahoo.com.br,telefone_8220
id_fornecedor_7498,Empresa 220,03776586174592,user6181@gmail.com,telefone_1523
id_fornecedor_5578,Empresa 7453,99516286428740,user3482@gmail.com,telefone_9757
id_fornecedor_4103,Empresa 5255,03776586174592,user957@yahoo.com.br,telefone_7453
id_fornecedor_1978,Empresa 2289,99516286428740,user3637@yahoo.com.br,telefone_5845
id_fornecedor_1337,Empresa 782,14226870717149,user1399@yahoo.com.br,telefone_7381
id_fornecedor_7761,Empresa 3421,98537346275224,user6728@hotmail.com,telefone_9253
id_fornecedor_9093,Empresa 1905,15814399731590,user5622@gmail.com,telefone_9966
id_fornecedor_5135,Empresa 2001,84993584563456,user965@yahoo.com.br,telefone_3643
id_fornecedor_4934,Empresa 7022,90709818713649,user2047@yahoo.com.br,telefone_2319
id_fornecedor_4917,Empresa 3873,17172257001286,user8821@hotmail.com,telefone_5156
id_fornecedor_1139,Empresa 5596,98537346275224,user5458@yahoo.com.br,telefone_1835
id_fornecedor_1560,Empresa 5229,17172257001286,user7135@hotmail.com,telefone_9157
id_fornecedor_7896,Empresa 7119,72282567499669,user9689@hotmail.com,telefone_3630
id_fornecedor_2986,Empresa 5407,99516286428740,user3945@yahoo.com.br,telefone_3304
id_fornecedor_5949,Empresa 675,17322309236307,user7302@gmail.com,telefone_1120
id_fornecedor_2662,Empresa 604,77890974970405,user8873@yahoo.com.br,telefone_9314
id_fornecedor_8044,Empresa 915,98537346275224,user1985@hotmail.com,telefone_8390
id_fornecedor_1926,Empresa 674,99516286428740,user4489@gmail.com,telefone_4384
id_fornecedor_1928,Empresa 6247,10498791878733,user362@hotmail.com,telefone_8027
id_fornecedor_1592,Empresa 9720,72282567499669,user2979@hotmail.com,telefone_7502
id_fornecedor_5458,Empresa 8676,17172257001286,user1280@gmail.com,telefone_4555
id_fornecedor_8404,Empresa 3731,98537346275224,user5468@gmail.com,telefone_2791
id_fornecedor_9190,Empresa 7229,84993584563456,user6168@gmail.com,telefone_9604
